"paper_id","rel_path","type_gt","group_gt","is_raw_gt","validated_at","annotator"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Data/S1_Subway_Sheet1.csv","data","ex1",FALSE,"2026-03-23T16:25:36","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Data/S2_Facing_Sheet1.csv","data","ex2",FALSE,"2026-03-23T16:25:47","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Data/S3a_Shoppers_Sheet1.csv","data","ex3a",FALSE,"2026-03-23T16:25:52","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Data/S3b_Starbucks_Sheet1.csv","data","ex3b",FALSE,"2026-03-23T16:25:56","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Data/S4_probability_Sheet1.csv","data","ex4",FALSE,"2026-03-23T16:26:12","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Data/S5_LA_Chicago_Sheet1.csv","data","ex5",FALSE,"2026-03-23T16:26:17","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S1_blooryonge_071013.doc","codebook","ex1",FALSE,"2026-03-23T16:26:24","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S1_sherbourne_071013.doc","codebook","ex1",FALSE,"2026-03-23T16:26:41","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S1_spadina_071013.doc","codebook","ex1",FALSE,"2026-03-23T16:26:49","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S1_stgeorge_071013.doc","codebook","ex1",FALSE,"2026-03-23T16:26:58","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S2_uoftcampus_120613.doc","codebook","ex2",FALSE,"2026-03-23T16:27:07","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S3_script.docx","supplemental","ex3",FALSE,"2026-03-23T16:27:23","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S4_probability_060513.doc","codebook","ex4",FALSE,"2026-03-23T16:27:37","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S5_social_distance_arriving.doc","codebook","ex5",FALSE,"2026-03-23T16:27:41","Levi Baruch"
"0956797614530571","Spatial_Orientation_Shrinks_and_Expands/Materials/S5_social_distance_departing.doc","codebook","ex5",FALSE,"2026-03-23T16:27:45","Levi Baruch"
