"paper_id","rel_path","type_gt","group_gt","is_raw_gt","validated_at","annotator"
"0956797614524581","Laptop_and_Longhand_Note-Taking/data/Study 1 Upload Data.csv","data","ex1",FALSE,"2026-03-23T15:56:26","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/data/Study 2 Upload Data.csv","data","ex2",FALSE,"2026-03-23T15:56:31","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/data/Study 3 Upload Data.csv","data","ex3",FALSE,"2026-03-23T15:56:34","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/data/Study_1_Upload_Data.sav","data","ex1",FALSE,"2026-03-23T15:56:39","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/data/Study_2_Upload_Data.sav","data","ex2",FALSE,"2026-03-23T15:56:40","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/data/Study_3_Upload_Data.sav","data","ex3",FALSE,"2026-03-23T15:56:41","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 1 abbreviated data.csv","data","ex1",FALSE,"2026-03-23T15:58:21","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 1 abbreviated data.sav","data","ex1",FALSE,"2026-03-23T15:58:24","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 1 Syntax.sps","supplemental","na",FALSE,"2026-03-23T15:58:35","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 2 abbreviated data.csv","data","ex2",FALSE,"2026-03-23T15:58:38","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 2 abbreviated data.sav","data","ex2",FALSE,"2026-03-23T15:58:39","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 2 Syntax.sps","supplemental","na",FALSE,"2026-03-23T15:58:43","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 3 abbreviated data.csv","data","ex3",FALSE,"2026-03-23T15:58:52","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Study 3 abbreviated data.sav","data","ex3",FALSE,"2026-03-23T15:58:59","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Files_referenced_in_Corrigendum/Syntax for original analyses.docx","supplemental","na",FALSE,"2026-03-23T16:01:11","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Questions_Asked_amp_Data_Codebook/Scoring (Both Raw and Index).docx","codebook","na",FALSE,"2026-03-23T16:01:34","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Studies_1_amp/KevinSlavin_2011G.mp4","asset","na",FALSE,"2026-03-23T16:01:39","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Studies_1_amp/MattRidley_2010G.mp4","asset","na",FALSE,"2026-03-23T16:01:39","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Studies_1_amp/MustafaAkyol_2011X.mp4","asset","na",FALSE,"2026-03-23T16:01:40","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Studies_1_amp/RajeshRao_2011.mp4","asset","na",FALSE,"2026-03-23T16:01:42","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Studies_1_amp/RichardWilkinson_2011G.mp4","asset","na",FALSE,"2026-03-23T16:01:42","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Study_3/Bats.m4v","asset","na",FALSE,"2026-03-23T16:01:44","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Study_3/Bread.m4v","asset","ex3",FALSE,"2026-03-23T16:01:44","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Questions_Asked_amp_Data_Codebook/All_Questions_Asked.docx","supplemental","na",FALSE,"2026-03-23T16:24:08","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Questions_Asked_amp_Data_Codebook/Codebook.docx","codebook","other",FALSE,"2026-03-23T16:24:13","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Study_3/Respiration.m4v","asset","ex3",FALSE,"2026-03-23T16:24:19","Levi Baruch"
"0956797614524581","Laptop_and_Longhand_Note-Taking/Videos_-_Study_3/Vaccines.m4v","asset","ex3",FALSE,"2026-03-23T16:24:19","Levi Baruch"
