"paper_id","rel_path","type_gt","group_gt","is_raw_gt","validated_at","annotator"
"0956797614523297","Development_of_Face-to-Trait_Inference/Data/Cogsdill_FaceTrait_Experiment1Public_04Feb14_Experiment 1.csv","data","ex1",FALSE,"2026-03-23T15:52:54","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Data/Cogsdill_FaceTrait_Experiment2Public_04Feb14_Expt 2 data.csv","data","ex2",FALSE,"2026-03-23T15:53:00","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Comp1T.png","asset","na",FALSE,"2026-03-23T15:53:04","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Comp2T.png","asset","na",FALSE,"2026-03-23T15:53:04","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Comp3T.png","asset","na",FALSE,"2026-03-23T15:53:05","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Dom1T.png","asset","na",FALSE,"2026-03-23T15:53:05","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Dom2T.png","asset","na",FALSE,"2026-03-23T15:53:05","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Dom3T.png","asset","na",FALSE,"2026-03-23T15:53:06","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Incomp1T.png","asset","na",FALSE,"2026-03-23T15:53:08","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Incomp2T.png","asset","na",FALSE,"2026-03-23T15:53:11","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Incomp3T.png","asset","na",FALSE,"2026-03-23T15:53:11","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Sub1T.png","asset","na",FALSE,"2026-03-23T15:53:11","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Sub2T.png","asset","na",FALSE,"2026-03-23T15:53:12","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Sub3T.png","asset","na",FALSE,"2026-03-23T15:53:13","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Trust1T.png","asset","na",FALSE,"2026-03-23T15:53:13","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Trust2T.png","asset","na",FALSE,"2026-03-23T15:53:13","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Trust3T.png","asset","na",FALSE,"2026-03-23T15:53:13","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Untrust1T.png","asset","na",FALSE,"2026-03-23T15:53:13","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Untrust2T.png","asset","na",FALSE,"2026-03-23T15:53:14","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/faces/Untrust3T.png","asset","na",FALSE,"2026-03-23T15:53:14","Levi Baruch"
"0956797614523297","Development_of_Face-to-Trait_Inference/Face_Stimuli_and_Prompts/prompts.docx","supplemental","na",FALSE,"2026-03-23T15:53:32","Levi Baruch"
